"date","presenter","title","presenter_twitter","presenter_url","slides","video","audio","meetup_url"
"2016-02-24","Nicholas Carah","The feedback loop between algorithmic judgment and cultural life","nnniccc","http://mediamachines.org/","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/228545252/"
"2016-02-24","Eru Penkman","Digital security for journalists","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/228545252/"
"2016-03-23","Lydia Byrne","Combining Illustrations and Abstract Graphics to Convey Information","lydiacbyrne","http://www.visualizationwhiteboard.com/","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/228720216/"
"2016-04-27","Angus Veitch","What do you do with 20,000 news articles? Using computers to scale mountains of text","AngusVeitch","http://www.oncewasacreek.org/","","https://www.youtube.com/watch?v=Ol7Bcala9OE","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/228720247/"
"2016-05-25","Luke Bacon","Web scraping for fun and profit","equivalentideas","http://equivalentideas.com/","","https://www.youtube.com/watch?v=eSxSHQkfjMQ","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/228720262/"
"2016-06-29","James Cridland","Making radio better with data","jamescridland","https://james.cridland.net/","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/231355694/"
"2016-07-27","Matthew Liddy","Basic Excel skills for data starters","mattliddy","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232248345/"
"2016-07-27","Renee Barnes","The latest research from journalism scholars ","renbarau","https://about.me/reneebarnes","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232248345/"
"2016-07-27","Simon Elvery","ABC NewsBot reporting for duty","drzax","https://elvery.net","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232248345/"
"2016-07-27","Dennis Atkins","Podcasting, new technologies and new journalistic forms in political reporting","dwabriz","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232248345/"
"2016-08-24","Peta Mitchell","On location: geodata and geovisualisation","petamitchell","","","https://www.youtube.com/watch?v=Rq-qdcsHZNc","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355768/"
"2016-09-28","Randall Fernando","GovHack showcase and all about hackathons","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355769/"
"2016-10-26","","Student journalism showcase: viewAR","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355771/"
"2016-10-26","","Student journalism showcase: CivCity","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355771/"
"2016-10-26","","Student journalism showcase: Local Knowledge","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355771/"
"2016-10-26","","Student journalism showcase: React","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355771/"
"2016-10-26","","Student journalism showcase: WorldView","","","","","","https://www.meetup.com/Hacks-Hackers-Brisbane/events/232355771/"
